log_text                                                                                                                                       , label
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=3856"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=1582"                                                                                                                          ,     1
"INFO: 127.0.0.1:54320 - ""GET / HTTP/1.1"" 200 OK [req_id=7577]"                                                                              ,     0
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=3729"                                                                                                                          ,     1
INFO: [target-app] Database heartbeat query executed in 1.4ms. [req_id=3332]                                                                   ,     0
"ERROR: [target-app] Unhandled Exception: KeyError: 'user_preferences'
Traceback (most recent call last):
File ""/app/services/user.py"", line 88, in get_user
prefs = user_data['user_preferences']
KeyError: 'user_preferences'
Context: req_id=2095"                                                                                                                          ,     1
INFO: [target-app] Database heartbeat query executed in 1.4ms. [req_id=5390]                                                                   ,     0
INFO: [target-app] Database heartbeat query executed in 1.4ms. [req_id=6642]                                                                   ,     0
INFO: [target-app] Cache hit for key 'product_catalog_v2' latency=0.2ms. [req_id=7867]                                                         ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=6971"                                                                                                                          ,     1
"ERROR: [target-app] Unhandled Exception: KeyError: 'user_preferences'
Traceback (most recent call last):
File ""/app/services/user.py"", line 88, in get_user
prefs = user_data['user_preferences']
KeyError: 'user_preferences'
Context: req_id=9930"                                                                                                                          ,     1
"INFO: 10.0.0.12:49152 - ""GET /health HTTP/1.1"" 200 OK [req_id=1369]"                                                                        ,     0
INFO: [target-app] Processed request GET / successfully with status 200 OK. [req_id=8092]                                                      ,     0
"INFO: 127.0.0.1:54320 - ""GET / HTTP/1.1"" 200 OK [req_id=6764]"                                                                              ,     0
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=5275"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=4795"                                                                                                                          ,     1
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=6711]                                                                  ,     0
INFO: [target-app] Processed request GET / successfully with status 200 OK. [req_id=5384]                                                      ,     0
"ERROR: [target-app] HTTP 500 Internal Server Error: NullPointerException in auth verification
Traceback (most recent call last):
File ""/app/middleware/auth.py"", line 64, in authenticate
user_role = token_claims['role']
TypeError: 'NoneType' object is not subscriptable
Context: req_id=4220"                                                                                                                          ,     1
"INFO: 10.0.2.15:52130 - ""GET /metrics HTTP/1.1"" 200 OK [req_id=6928]"                                                                       ,     0
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=9224"                                                                                                                          ,     1
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=4656]                                                                  ,     0
"ERROR: [target-app] Unhandled Exception: KeyError: 'user_preferences'
Traceback (most recent call last):
File ""/app/services/user.py"", line 88, in get_user
prefs = user_data['user_preferences']
KeyError: 'user_preferences'
Context: req_id=3314"                                                                                                                          ,     1
INFO: [target-app] Background log drain synced 45 events to collector. [req_id=6080]                                                           ,     0
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=9856"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=7185"                                                                                                                          ,     1
INFO: [target-app] User session refreshed token_id=tok_9a8f7b2c. [req_id=2200]                                                                 ,     0
"INFO: 192.168.1.100:60124 - ""POST /api/v1/login HTTP/1.1"" 200 OK [req_id=8796]"                                                             ,     0
INFO: [target-app] Cache hit for key 'product_catalog_v2' latency=0.2ms. [req_id=5902]                                                         ,     0
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=3360"                                                                                                                          ,     1
INFO: [target-app] Batch job finished successfully: processed 150 records. [req_id=6502]                                                       ,     0
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=3313"                                                                                                                          ,     1
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=3136"                                                                                                                          ,     1
"ERROR: [target-app] Unhandled Exception: KeyError: 'user_preferences'
Traceback (most recent call last):
File ""/app/services/user.py"", line 88, in get_user
prefs = user_data['user_preferences']
KeyError: 'user_preferences'
Context: req_id=6873"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=7061"                                                                                                                          ,     1
INFO: [target-app] TLS handshake completed successfully with cipher TLS_AES_256_GCM_SHA384. [req_id=4680]                                      ,     0
"INFO: 10.0.0.12:49152 - ""GET /health HTTP/1.1"" 200 OK [req_id=6253]"                                                                        ,     0
"INFO: 192.168.1.100:60124 - ""POST /api/v1/login HTTP/1.1"" 200 OK [req_id=4866]"                                                             ,     0
INFO: [target-app] Processed request GET / successfully with status 200 OK. [req_id=9742]                                                      ,     0
INFO: [target-app] Health check probe passed. All downstream dependencies reachable. [req_id=1242]                                             ,     0
INFO: [target-app] User session refreshed token_id=tok_9a8f7b2c. [req_id=2300]                                                                 ,     0
"ERROR: [target-app] HTTP 500 Internal Server Error: NullPointerException in auth verification
Traceback (most recent call last):
File ""/app/middleware/auth.py"", line 64, in authenticate
user_role = token_claims['role']
TypeError: 'NoneType' object is not subscriptable
Context: req_id=7956"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=7376"                                                                                                                          ,     1
INFO: [target-app] Cache hit for key 'product_catalog_v2' latency=0.2ms. [req_id=6553]                                                         ,     0
"INFO: 192.168.1.100:60124 - ""POST /api/v1/login HTTP/1.1"" 200 OK [req_id=5266]"                                                             ,     0
INFO: [target-app] Background log drain synced 45 events to collector. [req_id=1657]                                                           ,     0
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=6740"                                                                                                                          ,     1
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=9176"                                                                                                                          ,     1
"INFO: 10.0.2.15:52130 - ""GET /metrics HTTP/1.1"" 200 OK [req_id=6686]"                                                                       ,     0
"ERROR: [target-app] HTTP 500 Internal Server Error: NullPointerException in auth verification
Traceback (most recent call last):
File ""/app/middleware/auth.py"", line 64, in authenticate
user_role = token_claims['role']
TypeError: 'NoneType' object is not subscriptable
Context: req_id=8096"                                                                                                                          ,     1
INFO: [target-app] User session refreshed token_id=tok_9a8f7b2c. [req_id=3542]                                                                 ,     0
INFO: [target-app] Health check probe passed. All downstream dependencies reachable. [req_id=8604]                                             ,     0
"ERROR: [target-app] Simulated Application Failure [FileNotFoundError]: Configuration file '/app/config/settings.yaml' not found in path.
Traceback (most recent call last):
File ""/app/main.py"", line 42, in simulate_error
raise FileNotFoundError(""Configuration file '/app/config/settings.yaml' not found in path."")
FileNotFoundError: Configuration file '/app/config/settings.yaml' not found in path.
Context: req_id=4221"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [ZeroDivisionError]: division by zero
Traceback (most recent call last):
File ""/app/main.py"", line 46, in simulate_error
_ = 100 / 0
ZeroDivisionError: division by zero
Context: req_id=2064"                                                                                                                          ,     1
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=4042"                                                                                                                          ,     1
"ERROR: [target-app] Database query failed: OperationalError: connection refused to 10.0.1.5:5432
Traceback (most recent call last):
File ""/app/db/session.py"", line 29, in get_db
conn = psycopg2.connect(dsn)
psycopg2.OperationalError: could not connect to server: Connection refused
Context: req_id=3400"                                                                                                                          ,     1
"INFO: 172.18.0.4:38902 - ""GET /api/v1/users/profile HTTP/1.1"" 200 OK [req_id=3305]"                                                         ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=9079"                                                                                                                          ,     1
INFO: [target-app] TLS handshake completed successfully with cipher TLS_AES_256_GCM_SHA384. [req_id=2246]                                      ,     0
"INFO: 127.0.0.1:44302 - ""POST /api/v1/checkout HTTP/1.1"" 201 Created [req_id=4437]"                                                         ,     0
"ERROR: [target-app] Database query failed: OperationalError: connection refused to 10.0.1.5:5432
Traceback (most recent call last):
File ""/app/db/session.py"", line 29, in get_db
conn = psycopg2.connect(dsn)
psycopg2.OperationalError: could not connect to server: Connection refused
Context: req_id=4594"                                                                                                                          ,     1
"INFO: 10.0.0.12:49152 - ""GET /health HTTP/1.1"" 200 OK [req_id=6470]"                                                                        ,     0
"INFO: 172.18.0.4:38902 - ""GET /api/v1/users/profile HTTP/1.1"" 200 OK [req_id=5743]"                                                         ,     0
"INFO: 127.0.0.1:54320 - ""GET / HTTP/1.1"" 200 OK [req_id=4500]"                                                                              ,     0
"INFO: 172.18.0.4:38902 - ""GET /api/v1/users/profile HTTP/1.1"" 200 OK [req_id=5542]"                                                         ,     0
"ERROR: [target-app] Memory limit exceeded: MemoryError: unable to allocate 512MiB for buffer
Traceback (most recent call last):
File ""/app/utils/export.py"", line 15, in export_large_dataset
buffer = bytearray(512 * 1024 * 1024)
MemoryError
Context: req_id=9782"                                                                                                                          ,     1
"ERROR: [target-app] Unhandled Exception: KeyError: 'user_preferences'
Traceback (most recent call last):
File ""/app/services/user.py"", line 88, in get_user
prefs = user_data['user_preferences']
KeyError: 'user_preferences'
Context: req_id=2095"                                                                                                                          ,     1
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=4468"                                                                                                                          ,     1
"INFO: 127.0.0.1:44302 - ""POST /api/v1/checkout HTTP/1.1"" 201 Created [req_id=4962]"                                                         ,     0
DEBUG: [target-app] Serialized response payload size=412 bytes. [req_id=3917]                                                                  ,     0
"INFO: 10.0.0.12:49152 - ""GET /health HTTP/1.1"" 200 OK [req_id=8075]"                                                                        ,     0
"ERROR: [target-app] Simulated Application Failure [TimeoutError]: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Traceback (most recent call last):
File ""/app/main.py"", line 50, in simulate_error
raise TimeoutError(""Database connection timed out after 30000ms: host=db-replica-1.internal:5432"")
TimeoutError: Database connection timed out after 30000ms: host=db-replica-1.internal:5432
Context: req_id=9862"                                                                                                                          ,     1
"ERROR: [target-app] Unhandled Exception: KeyError: 'user_preferences'
Traceback (most recent call last):
File ""/app/services/user.py"", line 88, in get_user
prefs = user_data['user_preferences']
KeyError: 'user_preferences'
Context: req_id=5339"                                                                                                                          ,     1
INFO: [target-app] Database heartbeat query executed in 1.4ms. [req_id=5851]                                                                   ,     0
